field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19
2010,1606,3465,0,0,11,31,75,172,352,882,359,949,349,737,221,432,229,213
2011,1594,3369,1,0,23,51,76,162,327,796,410,955,333,720,158,421,218,244
2012,1898,3472,-,1,21,49,108,174,387,747,430,1039,397,777,248,383,307,302
2013,1849,3436,1,1,17,25,84,165,355,621,434,1118,370,771,280,421,308,314
2014,1930,3624,1,2,37,51,85,197,352,645,454,1082,379,807,289,495,333,345
2015,2079,3763,10,4,38,99,87,234,418,769,440,939,406,793,286,488,394,437
2016,2196,3396,3,10,45,89,138,218,400,710,525,929,462,666,271,446,352,328
2017,2100,3623,3,0,32,79,131,225,395,734,454,908,410,728,284,545,391,404
2018,2155,3746,2,0,55,190,124,395,427,768,426,823,410,697,300,464,411,409
2019,2462,4641,23,15,105,356,178,684,471,1039,491,855,408,717,337,493,449,482
2020,2775,5781,19,4,184,642,248,971,529,1404,522,938,459,833,348,462,466,527
2021,2730,5846,31,12,190,670,259,991,585,1446,447,850,411,785,302,481,487,575
